# turbineX, turbineY
1.269940098155797841e+03 4.916311336420907452e+00
1.879173743278287702e+03 1.088485810927629416e+01
2.214212233935161294e+03 5.258528848867470629e+01
8.400306997596961764e+02 2.714171904725971558e+02
1.308054610512266663e+03 3.192962660978466261e+02
1.928655101558378874e+03 4.758263343733584065e+02
2.638959785775895398e+03 2.956109495934248343e+02
3.135501999999999953e+03 5.797149999999998045e+02
5.560725586795538220e+02 8.298682012635440515e+02
8.498024108226966291e+02 6.155886157902922378e+02
1.616746782253980655e+03 1.024213944039317084e+03
2.252930849863065760e+03 5.578537012692308963e+02
3.272748423827659281e+03 1.014458112869313254e+03
3.724932515822614278e+03 1.506648193037690589e+03
2.382619905687166693e+02 1.454895651881523918e+03
3.540117324596221806e+02 1.227254492829409855e+03
1.239553152395945517e+03 1.323354064894062276e+03
2.424142874165333069e+03 1.470818897360293249e+03
2.954421032050012855e+03 1.771475816934958857e+03
3.409447063616647483e+03 1.582836220583743398e+03
3.790200906655208655e+03 2.152869027222390287e+03
3.066746150905227069e+02 1.929803977004293074e+03
9.410793477340854452e+02 1.544260633356152539e+03
2.029927995892598119e+03 1.760640339220396982e+03
2.561191839290722328e+03 1.958277133841326076e+03
2.736622292326054776e+03 2.915879460180587103e+03
3.615637607412335001e+03 2.335722779050693134e+03
1.212342847338315153e+02 2.136997232480383900e+03
1.124216782708876508e+03 2.302481340168003953e+03
1.624044433152150077e+03 2.347710903123712342e+03
2.059108107619482325e+03 2.135977953919202264e+03
2.370642215309422227e+03 3.076804013665901948e+03
3.094050632758685424e+03 2.714390088439470219e+03
3.707273870282776443e+03 2.810043338843235688e+03
4.758709449439448491e+01 2.630262134549170696e+03
8.610901079338381336e+00 2.994514509932574128e+03
1.135676801360087438e+03 2.698506138535758510e+03
1.165440751873844192e+03 3.152741082232018471e+03
1.878719620946473469e+03 3.231862382532375705e+03
3.202040276444918618e+03 3.553186509656186900e+03
3.727448063534066932e+03 3.170215473458866654e+03
8.989847934420192033e+00 3.324073182396005450e+03
5.104607102535334207e+02 2.834390822974167349e+03
1.192559338061481412e+03 3.492445846914920367e+03
1.884744810350476882e+03 3.664989762581564264e+03
2.871117494305236050e+03 4.115877075850816254e+03
3.209827467859482113e+03 3.895125799554267360e+03
3.710175999999999931e+03 3.569027999999999793e+03
1.708121591561839381e+01 3.764613059970773065e+03
6.214709045513424144e+02 4.030762491698568283e+03
1.262353307325715605e+03 4.125386909588793969e+03
1.885043531786637004e+03 4.283967334045799362e+03
2.363392471185255090e+03 4.446782439177769447e+03
2.630748808501984968e+03 4.272535274060895063e+03
2.974189999999994143e+02 4.390710999999999331e+03
7.272063549402980698e+02 4.639673187312977461e+03
1.501860352378806738e+03 4.883217436121759420e+03
1.978045650656534917e+03 4.697928874447731687e+03
1.215267308132900098e+03 4.872889758851635634e+03
1.751811891043958440e+03 4.845374757578315439e+03
