# turbineX, turbineY
1.198731177342546061e+03 6.154727350564415111e+00
2.089884979269185351e+03 1.790856597563950103e+01
2.748646516058737689e+03 3.583698519717518707e+02
8.795964797317334387e+02 1.936044898609242182e+02
1.777552794864136104e+03 2.521433873340769196e+02
2.424047250455139420e+03 5.599845869346762584e+02
2.714061675324403495e+03 9.119027166650458867e+02
3.473400887791668083e+03 1.089011874352658424e+03
5.658452734496567018e+02 8.106485288823420206e+02
9.639806547085952388e+02 6.218252034287670540e+02
1.400612957193471175e+03 6.587124724123070791e+02
2.289281979933620732e+03 1.447498212337703762e+03
2.988827266045075703e+03 1.322572593880768864e+03
3.799444227814090482e+03 1.704567951016633515e+03
2.790501733202294190e+02 1.509492298146347366e+03
5.090615672186414713e+02 1.286240908101055993e+03
9.833595011749437163e+02 1.214277384529091250e+03
1.557339456692261820e+03 1.326492414607874480e+03
2.257312798155590826e+03 1.956005214105333835e+03
3.108955124370429985e+03 1.580302280352243770e+03
3.784262296902215439e+03 2.096759080726204047e+03
1.768200641424382411e+02 1.764701779697157235e+03
8.313903187644050377e+02 2.313350224118011283e+03
1.477619773310861547e+03 2.047178180272072723e+03
2.208813629435092480e+03 2.392968531270456879e+03
2.786063001025062931e+03 1.901990754799626529e+03
3.581666849695664496e+03 2.247963991931241708e+03
7.716395461207325468e+01 2.432165955156347991e+03
3.212652521317967853e+02 2.241099932304894082e+03
1.178800660004536439e+03 2.296858179845141422e+03
1.808047284950322137e+03 2.692570136512765202e+03
2.778946886147610712e+03 2.658777018997137475e+03
3.329301640511659116e+03 2.409398329074115736e+03
3.722155573484385059e+03 2.767967144298230323e+03
2.958275840555985692e+00 3.090242671386547045e+03
3.817714771733872112e+02 2.907118357793919131e+03
1.046892314167676204e+03 3.205537203216914349e+03
1.350217700331281549e+03 3.040155341762026183e+03
2.250875264865947884e+03 3.396468511406906600e+03
2.852441186107730118e+03 3.133526638130062111e+03
3.740764981889864430e+03 3.153891817208977955e+03
9.564760699586473791e+00 3.405702323405254447e+03
6.720575660143153982e+02 3.410876870560400675e+03
1.378370185769815635e+03 3.721704667721360238e+03
1.796548280341360623e+03 3.472721557345320889e+03
2.672035273400688311e+03 3.621131229620557406e+03
3.378361548597773890e+03 3.640237596049200874e+03
3.715522092838440130e+03 3.496473882906884228e+03
2.112918443817181569e+01 3.913483136756842214e+03
3.697977217242334973e+02 3.698747601871996267e+03
9.984115497708230578e+02 3.959410888153020096e+03
1.777249284337433892e+03 4.068765057254795920e+03
2.679867940355406972e+03 4.240522307529560749e+03
3.070162878280234054e+03 3.986150979827310493e+03
2.974190000000000964e+02 4.390711000000000240e+03
5.363245045524421357e+02 4.308055047744071999e+03
1.360094167766069177e+03 4.460891272127334560e+03
2.282957559496363956e+03 4.499205192567045742e+03
9.823295795605323519e+02 4.737817519128948334e+03
1.683693999999998823e+03 4.889770000000000437e+03
