# direction, average_speed, probability
0.000000000000000000e+00 5.120149999999999757e+00 4.299999999999999656e-02
2.250000000000000000e+01 5.120149999999999757e+00 3.620000000000000301e-02
4.500000000000000000e+01 5.120149999999999757e+00 3.359999999999999792e-02
6.750000000000000000e+01 5.120149999999999757e+00 2.469999999999999973e-02
9.000000000000000000e+01 5.120149999999999757e+00 2.860000000000000042e-02
1.125000000000000000e+02 5.120149999999999757e+00 1.220000000000000077e-02
1.350000000000000000e+02 5.120149999999999757e+00 1.030000000000000013e-02
1.575000000000000000e+02 5.120149999999999757e+00 4.070000000000000007e-02
1.800000000000000000e+02 5.120149999999999757e+00 1.701999999999999902e-01
2.025000000000000000e+02 5.120149999999999757e+00 2.265000000000000069e-01
2.250000000000000000e+02 5.120149999999999757e+00 1.246000000000000024e-01
2.475000000000000000e+02 5.120149999999999757e+00 9.089999999999999469e-02
2.700000000000000000e+02 5.120149999999999757e+00 8.749999999999999445e-02
2.925000000000000000e+02 5.120149999999999757e+00 2.790000000000000119e-02
3.150000000000000000e+02 5.120149999999999757e+00 1.969999999999999876e-02
3.375000000000000000e+02 5.120149999999999757e+00 2.350000000000000006e-02
